zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.056	  6.78	 1.61735e+00	 7.89695e-02	 3.80611e+00	 6.44464e-02
  0.783	 10.44	 5.77646e+00	 2.09496e-01	 2.40056e+01	 3.85589e-01
  0.239	  8.46	 5.60146e+00	 4.12094e-02	 1.00313e+01	 1.05111e-01
  0.622	  9.08	 8.99933e-01	 1.68831e-02	 2.48559e+00	 3.50370e-02
  0.144	  8.55	 4.04033e+00	 2.16031e-02	 1.14803e+01	 2.06954e-02
  0.197	 10.09	 1.45254e+01	 5.14300e-01	 6.98842e+01	 1.44015e+00
  0.309	  8.93	 1.67411e+00	 3.44924e-03	 4.12213e+00	 7.26156e-03
  0.215	  8.41	 1.89196e+00	 2.17847e-02	 4.54625e+00	 2.65047e-02
  0.094	  8.29	 1.09207e-01	 2.54155e-03	 1.60583e+00	 2.45078e-02
  0.622	 10.86	 5.53218e+00	 3.12066e-01	 3.64008e+01	 1.00627e+00
  0.335	  8.67	 2.64745e+00	 2.97724e-02	 6.06867e+00	 9.83942e-02
  0.828	  8.77	 7.37212e-01	 1.85170e-02	 1.19853e+00	 1.76093e-02
  0.731	  8.21	 2.35547e-01	 9.25849e-03	 4.87538e-01	 1.21087e-01
  0.329	 10.21	 7.35484e+00	 6.69153e-01	 2.59737e+01	 2.16522e+00
  0.775	  9.28	 4.72270e-01	 7.78802e-02	 2.34052e+00	 6.35387e-02
  0.567	  9.44	 6.79403e-01	 4.90155e-03	 5.81568e+00	 1.99693e-03
  0.051	  8.34	 3.25079e-01	 1.48862e-02	 5.40972e+00	 5.28279e-02
  0.912	  9.05	 1.44044e-01	 1.28893e-02	 4.09087e-01	 1.65201e-02
  0.446	  8.16	 4.47120e-01	 1.08923e-02	 1.02510e+00	 1.19816e-02
  0.335	  8.33	 3.60454e-01	 1.27077e-02	 1.11730e+00	 2.39632e-02
  0.990	  8.82	 2.02246e-01	 9.25849e-03	 8.32981e-01	 1.57939e-02
  0.574	 10.03	 2.36792e+00	 5.46432e-02	 1.37251e+01	 5.64586e-02
  0.520	  9.81	 2.07778e+00	 6.06340e-02	 8.87973e+00	 1.65382e-01
  0.622	 11.95	 8.67706e+01	 0.00000e+00	 7.25307e+02	 0.00000e+00
