Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
 5264	          	 10.86	 1.72584e-01	 6.95294e-02	 1.34590e+00	 6.18503e-01
 5265	          	  9.02	 7.17584e-01	 3.04986e-02	 1.50814e+00	 9.44003e-03
 5266	          	  9.79	 4.05965e-01	 2.46893e-02	 6.65224e-01	 1.63748e-01
 5267	          	 10.24	 1.24719e+00	 9.05880e-02	 2.24027e+00	 5.15389e-01
 5268	          	  8.08	 1.28370e-01	 1.32523e-02	 3.00156e-01	 1.32523e-02
 5269	          	  9.30	 1.34883e+00	 3.24955e-02	 3.07801e+00	 2.95909e-02
 5270	          	  8.11	 2.12203e-01	 5.99079e-03	 4.00188e-01	 1.81539e-03
 5271	          	  8.92	 7.21385e-02	 6.53540e-03	 1.16310e-01	 1.56124e-02
 5272	          	  9.34	 2.31513e-01	 9.07695e-04	 2.63063e-01	 1.63385e-03
 5273	          	  8.73	 1.23370e+00	 2.21478e-02	 3.61358e+00	 3.01355e-02
 5274	          	  9.21	 2.74493e+01	 2.68678e-02	 3.54179e+01	 2.66862e-02
 5275	          	  9.76	 1.03074e+00	 1.70647e-02	 1.69266e+00	 2.16031e-02
 5276	          	  9.15	 2.04265e-01	 4.35694e-03	 2.61805e-01	 1.77908e-02
 5277	          	  9.02	 2.79210e-01	 2.12401e-02	 5.74647e-01	 4.17540e-03
 5278	          	  9.55	 1.24694e+00	 9.07695e-02	 2.49601e+00	 2.56152e-01
 5279	          	  4.33	 1.28309e-01	 9.07695e-04	 2.11735e-01	 5.99079e-03
 5280	          	  8.64	 7.11157e-02	 1.45231e-03	 1.47949e-01	 2.17847e-03
 5281	          	  9.38	 2.21479e-01	 1.30708e-02	 3.90621e-01	 8.06033e-02
 5282	          	  8.69	 8.54014e-02	 1.14370e-02	 2.06595e-01	 6.71694e-03
 5283	          	  8.48	 1.18396e-01	 5.26463e-03	 2.06277e-01	 2.59601e-02
 5284	          	  8.70	 9.57571e-02	 1.05293e-02	 1.94323e-01	 1.48862e-02
 5285	          	  9.59	 4.07497e-01	 2.36001e-03	 5.25036e-01	 7.87879e-02
 5286	          	  9.15	 2.19095e-01	 3.61263e-02	 3.88319e-01	 9.65788e-02
 5287	          	  8.75	 5.89149e-01	 2.34185e-02	 8.26987e-01	 3.59447e-02
 5288	          	  9.93	 3.15436e-01	 2.55970e-02	 1.77986e+00	 5.71848e-02
 5289	          	  7.95	 8.85442e-03	 3.44924e-03	 7.81010e-02	 4.33878e-02
 5290	          	  8.88	 7.11125e-02	 2.17847e-03	 1.27889e-01	 4.90155e-03
 5291	          	  9.79	 1.49459e+00	 4.68371e-02	 9.96246e+00	 7.33418e-02
 5292	          	  8.24	 1.20413e-01	 1.52493e-02	 2.54956e-01	 9.62157e-03
 5293	          	  9.70	 9.86930e-01	 1.83354e-02	 2.13069e+00	 2.85016e-02
 5294	          	 10.81	 2.27800e+00	 6.91664e-02	 6.56514e+00	 2.70493e-01
 5295	          	  8.86	 2.67306e-01	 2.05139e-02	 3.62046e-01	 4.08463e-02
 5296	          	  9.33	 8.80090e-02	 1.48862e-02	 2.08980e-01	 1.74277e-02
 5297	          	 10.13	 3.98420e+00	 9.07695e-02	 1.05181e+01	 1.08197e-01
 5298	          	  9.25	 4.73722e-01	 1.45231e-02	 6.63986e-01	 1.47047e-02
 5299	          	  7.83	 5.13091e-02	 1.10739e-02	 1.07545e-01	 2.36001e-03
 5300	          	  7.70	 6.75423e-02	 6.35387e-03	 1.80904e-01	 7.62464e-03
 5301	          	 10.25	 3.65082e-01	 6.84402e-02	 1.89082e+00	 3.52186e-01
 5302	          	  8.96	 3.22193e-01	 1.21631e-02	 3.75190e-01	 2.03324e-02
 5303	          	  8.37	 1.47632e-01	 5.44617e-03	 3.17105e-01	 3.63078e-03
 5304	          	 10.65	 1.98383e+00	 7.06187e-02	 9.55959e+00	 1.68650e-01
 5305	          	  8.98	 4.74158e+00	 1.96062e-02	 1.05277e+01	 4.33878e-02
 5306	          	 10.49	 9.44417e-02	 4.32063e-02	 1.24521e+00	 6.22679e-01
 5307	          	  9.62	 3.11448e-01	 1.70647e-02	 6.23510e-01	 3.81232e-02
 5308	          	  9.41	 1.15234e+00	 2.42536e-01	 1.48025e+00	 1.04203e-01
 5309	          	  8.02	 4.99149e-01	 5.99079e-03	 7.79496e-01	 4.53848e-03
 5310	          	 10.44	 4.72775e-01	 0.00000e+00	 2.96893e+00	 0.00000e+00
 5311	          	 10.23	 3.84943e+00	 2.08225e-01	 8.18926e+00	 4.15543e-01
 5312	          	  7.47	 1.23456e-01	 1.39785e-02	 2.55273e-01	 1.23447e-02
 5313	          	  7.94	 8.81935e-02	 1.27077e-02	 1.70932e-01	 5.08309e-03
 5314	          	  9.44	 4.53455e-01	 2.70493e-02	 2.23952e+00	 5.70033e-02
 5315	          	  7.82	 7.22344e-02	 4.72001e-03	 1.90244e-01	 6.53540e-03
 5316	          	 10.34	 2.15353e-01	 4.35694e-03	 7.12069e-01	 1.18000e-02
 5317	          	  9.02	 1.34871e-01	 6.17233e-03	 1.41041e-01	 1.70647e-02
 5318	          	  8.16	 6.06308e-02	 6.17233e-03	 1.02945e-01	 3.99386e-03
 5319	          	  8.98	 4.03042e-01	 1.30708e-02	 7.98917e-01	 1.72462e-02
 5320	          	 10.03	 4.43961e-01	 1.37970e-02	 9.72657e-01	 2.73216e-01
 5321	          	 10.88	 7.87317e-01	 1.12010e-01	 4.68988e+00	 2.65773e-01
 5322	          	  9.20	 1.41386e+00	 2.28739e-01	 3.55346e+00	 2.16213e-01
 5323	          	  9.13	 1.93783e-01	 1.88801e-02	 2.06467e-01	 2.17847e-03
 5324	          	  9.11	 3.50740e-01	 5.62771e-03	 5.66925e-01	 1.79724e-02
 5325	          	  9.92	 1.94555e+00	 3.68524e-02	 4.26998e+00	 3.44924e-02
 5326	          	  8.98	 3.68041e-01	 1.81539e-03	 5.73983e-01	 7.44310e-03
 5327	          	  9.30	 5.56871e-01	 1.90616e-02	 1.12052e+00	 1.12554e-02
 5328	          	 10.65	 1.91356e+00	 5.30094e-02	 4.26904e+00	 1.98604e-01
 5329	          	  8.27	 2.21350e-01	 3.08616e-03	 2.52868e-01	 6.17233e-03
 5330	          	  8.29	 1.15321e-01	 6.35387e-03	 2.45060e-01	 1.08923e-03
 5331	          	  8.55	 6.12999e-02	 2.17847e-03	 4.29256e-02	 9.25849e-03
 5332	          	  8.25	 1.02576e-01	 1.25262e-02	 1.85521e-01	 1.72462e-02
 5333	          	  8.25	 5.56188e-02	 2.81385e-02	 3.35549e-02	 1.76093e-02
 5334	          	  9.00	 2.03048e-01	 4.72001e-03	 3.75702e-01	 6.89848e-03
 5335	          	  9.08	 4.00047e-01	 3.97570e-02	 9.28307e-01	 1.39785e-02
 5336	          	 10.50	 5.87885e-01	 1.09650e-01	 3.39843e+00	 4.34968e-01
 5337	          	  8.46	 1.52895e-01	 5.62771e-03	 1.97458e-01	 1.76093e-02
 5338	          	 11.16	 5.95644e+00	 0.00000e+00	 1.00245e+02	 0.00000e+00
 5339	          	  9.50	 7.31392e-01	 3.99386e-02	 1.05527e+00	 1.48317e-01
 5340	          	  9.29	 2.64863e-01	 1.27077e-02	 4.43111e-01	 2.01508e-02
 5341	          	  7.80	 1.10580e-01	 5.62771e-03	 5.23272e-01	 1.05293e-02
 5342	          	  9.14	 8.76024e-02	 2.94093e-02	 2.70026e-01	 5.06494e-02
 5343	          	 10.43	 1.87638e+00	 1.47047e-01	 4.09258e+00	 1.81539e-01
 5344	          	  8.84	 1.28871e-01	 7.80618e-03	 2.07094e-01	 9.25849e-03
 5345	          	  9.76	 1.01322e+00	 1.04022e-01	 1.38089e+00	 5.06494e-02
 5346	          	  9.02	 1.46690e-01	 3.08616e-03	 3.40305e-01	 4.42955e-02
 5347	          	  7.64	 1.44313e-01	 9.98465e-03	 3.80727e-01	 8.16926e-03
 5348	          	  8.46	 7.01347e-01	 1.85170e-02	 1.57464e+00	 9.07695e-03
 5349	          	  9.57	 5.18864e-01	 2.08770e-02	 7.83337e-01	 1.30708e-01
 5350	          	  7.49	 9.11304e-02	 6.53540e-03	 2.07613e-01	 7.44310e-03
 5351	          	 10.94	 5.63120e-01	 9.98465e-02	 3.90857e+00	 1.79179e-01
 5352	          	  9.04	 1.43490e-01	 1.81539e-03	 3.10254e-01	 2.68678e-02
 5353	          	  7.62	 3.33190e-02	 3.81232e-03	 8.52380e-02	 3.44924e-03
 5354	          	  9.39	 2.39747e-01	 1.14370e-02	 4.19991e-01	 2.32370e-02
 5355	          	  8.47	 4.83155e-02	 5.99079e-03	 1.39244e-01	 2.99539e-02
 5356	          	  9.30	 1.64949e-01	 1.50677e-02	 2.57313e-01	 1.39785e-02
 5357	          	  9.00	 8.75951e-01	 2.54155e-03	 1.07874e+00	 4.72001e-03
 5358	          	  9.49	 2.02173e-01	 4.84709e-02	 2.96991e-01	 3.08616e-02
 5359	          	  8.27	 5.21685e-01	 9.07695e-03	 1.09907e+00	 5.80925e-03
 5360	          	  8.52	 6.02982e-01	 9.07695e-03	 1.18395e+00	 1.18000e-02
 5361	          	 10.03	 9.35834e-02	 2.90462e-02	 5.04856e-01	 2.37453e-01
 5362	          	  8.75	 8.02025e-02	 3.63078e-04	 1.03336e-01	 4.35694e-03
 5363	          	 10.24	 5.80482e-01	 9.76680e-02	 2.13152e+00	 1.23265e-01
 5364	          	 10.80	 4.31838e-01	 5.01048e-02	 1.95526e+00	 5.82740e-02
 5365	          	  8.18	 1.26648e-01	 9.44003e-03	 2.66578e-01	 1.74277e-02
 5366	          	 10.97	 2.30852e-01	 2.63232e-02	 1.80233e+00	 6.77141e-02
 5367	          	  9.10	 9.96824e-02	 1.27077e-03	 1.80207e-01	 1.08923e-03
 5368	          	  8.94	 1.57599e-01	 2.88647e-02	 2.66751e-01	 9.07695e-03
 5369	          	  8.46	 1.10411e-01	 1.01662e-02	 2.13654e-01	 7.98772e-03
 5370	          	  9.06	 2.54224e-01	 1.57939e-02	 3.49279e-01	 6.60802e-02
 5371	          	 10.05	 1.48043e+00	 2.55970e-02	 4.18408e+00	 1.05656e-01
 5372	          	  7.15	 2.45961e-02	 3.64893e-02	 6.50218e-02	 1.83354e-02
 5373	          	  8.15	 1.07272e-01	 8.71387e-03	 1.82621e-01	 1.45231e-03
 5374	          	  9.26	 4.53746e-02	 6.35387e-03	 1.18074e-01	 1.85170e-02
 5375	          	  9.07	 1.01309e-01	 5.26463e-03	 1.72792e-01	 6.35387e-03
 5376	          	  9.52	 2.84818e-01	 2.37816e-02	 4.08042e-01	 4.64740e-02
 5377	          	  9.10	 8.16508e-02	 3.43109e-02	 1.10076e-01	 3.32216e-02
 5378	          	  9.62	 1.49530e-01	 8.02403e-02	 4.85599e-01	 1.63385e-01
 5379	          	  8.59	 2.71048e-01	 1.99693e-03	 6.38248e-01	 1.03477e-02
 5380	          	  8.50	 7.15060e-02	 5.44617e-04	 7.97501e-02	 6.17233e-03
 5381	          	  9.02	 1.52071e-01	 2.28739e-02	 6.09071e-01	 3.21324e-02
 5382	          	  8.93	 7.17747e-02	 6.89848e-03	 1.34984e-01	 7.26156e-03
 5383	          	 10.54	 9.17887e-01	 6.00894e-02	 4.75099e+00	 3.34940e-01
 5384	          	  8.05	 9.30921e-01	 2.72309e-03	 1.59865e+00	 1.45231e-03
 5385	          	  8.68	 6.51271e-02	 4.53848e-03	 5.51835e-02	 2.52339e-02
 5386	          	  7.46	 7.17486e-02	 3.26770e-03	 1.62289e-01	 1.99693e-03
 5387	          	  8.56	 7.11038e-01	 1.10739e-02	 1.57093e+00	 1.83354e-02
 5388	          	  8.86	 8.04828e-01	 9.40372e-02	 2.50001e+00	 6.86218e-02
 5389	          	 10.39	 1.02204e+00	 2.59601e-02	 3.26585e+00	 7.40679e-02
 5390	          	  9.02	 9.66310e-02	 7.08002e-03	 2.08041e-01	 1.08923e-02
 5391	          	  9.23	 2.61647e-01	 3.41293e-02	 3.71211e-01	 1.34520e-01
 5392	          	  8.82	 8.76209e-02	 1.54308e-02	 2.76842e-01	 1.50677e-02
 5393	          	 10.78	 6.83821e-01	 6.66248e-02	 4.16414e+00	 2.50705e-01
 5394	          	  9.39	 1.24514e+00	 5.42802e-02	 2.76577e+00	 3.15878e-02
 5395	          	  9.04	 1.35176e-01	 2.72309e-03	 1.95232e-01	 8.53233e-03
 5396	          	 10.27	 2.43258e+00	 6.49910e-02	 1.06693e+01	 1.10013e-01
 5397	          	  9.45	 1.86611e-01	 1.70647e-02	 3.88170e-01	 1.11102e-01
 5398	          	  9.78	 1.27990e+00	 2.97724e-02	 2.89326e+00	 4.08463e-02
 5399	          	  8.78	 6.46007e-01	 1.43416e-02	 1.50765e+00	 6.71694e-03
 5400	          	  8.95	 2.45844e-01	 1.36154e-02	 3.21183e-01	 5.73663e-02
 5401	          	  8.29	 7.68382e-02	 7.62464e-03	 1.31093e-01	 7.98772e-03
 5402	          	  8.17	 2.85740e-01	 4.72001e-03	 1.74703e+00	 2.46893e-02
 5403	          	  9.97	 1.12747e+00	 1.76456e-01	 2.67864e+00	 1.17819e-01
 5404	          	  8.95	 9.61271e-02	 6.71694e-03	 2.14945e-01	 1.76093e-02
 5405	          	  9.57	 9.09837e+00	 8.29633e-01	 2.83085e+01	 5.42184e+00
 5406	          	  9.40	 6.13896e-01	 5.08309e-03	 8.11454e-01	 5.50063e-02
 5407	          	  9.37	 5.59409e-01	 1.21631e-02	 7.67057e-01	 7.60649e-02
 5408	          	 10.52	 1.38311e+00	 9.85757e-02	 4.85247e+00	 1.74641e-01
 5409	          	 10.12	 1.72321e+00	 4.91971e-02	 9.26964e+00	 4.11912e-01
 5410	          	  9.21	 1.69000e-01	 3.08616e-03	 2.52524e-01	 1.23447e-02
 5411	          	  8.01	 7.35266e-02	 6.17233e-03	 1.74218e-01	 2.36001e-03
 5412	          	  8.90	 2.75524e-01	 3.26770e-03	 3.46675e-01	 4.79263e-02
 5413	          	  8.85	 4.33181e-02	 4.72001e-03	 1.11711e-01	 2.08770e-02
 5414	          	  8.33	 3.65503e-01	 1.96062e-02	 1.19888e+00	 1.77908e-02
