zp	lmass	Fu	e_Fu	Fr	e_Fr
  3.443	  9.20	 2.06799e-01	 6.35387e-03	 1.83587e-01	 5.80925e-03
  5.083	 10.17	 1.01228e+00	 1.77908e-02	 1.36598e+00	 5.28279e-02
  3.061	  9.66	 5.78703e-01	 3.35847e-02	 1.04128e+00	 4.50217e-02
  4.730	 10.39	 2.58148e-01	 2.03324e-02	 1.33198e+00	 1.16185e-02
  3.123	  8.98	 3.49137e-01	 1.63385e-03	 4.21839e-01	 7.26156e-04
  3.041	 10.24	 6.89634e-01	 2.59601e-02	 1.81872e+00	 2.85016e-02
  3.443	  9.41	 9.60774e-02	 2.88647e-02	 2.52525e-01	 3.95755e-02
  4.644	 10.97	 1.03564e+00	 8.00587e-02	 4.57914e+00	 4.79263e-02
  3.333	  9.74	 3.53589e-01	 3.26770e-03	 5.61576e-01	 4.01201e-02
  3.001	  9.11	 3.79667e-01	 6.42648e-02	 4.95420e-01	 1.52493e-02
  4.701	 11.05	 7.24014e-01	 6.98925e-02	 6.32224e+00	 7.75172e-02
  3.443	  9.37	 1.88452e-01	 5.44617e-03	 2.91226e-01	 2.03324e-02
  3.102	  9.59	 6.31367e-01	 6.35387e-03	 8.62205e-01	 1.83354e-02
  3.021	  9.98	 5.58726e-01	 4.24801e-02	 1.44533e+00	 2.14216e-02
  3.061	  9.41	 3.99208e-01	 7.26156e-03	 5.34698e-01	 8.00587e-02
  3.061	  9.44	 2.15338e-01	 1.16185e-02	 3.35011e-01	 3.81232e-03
  3.206	  9.25	 1.44739e-01	 3.99386e-03	 1.95750e-01	 1.48862e-02
  3.812	  9.89	 8.95946e-02	 9.07695e-04	 3.83636e-01	 4.13909e-02
  3.601	 10.01	 6.81498e-01	 2.83201e-02	 1.27768e+00	 7.93326e-02
  3.465	 10.92	 5.32581e-01	 6.29940e-02	 2.87066e+00	 1.82084e-01
  4.264	  9.87	 1.18325e-01	 8.35080e-03	 3.81341e-01	 1.47047e-02
  3.082	  9.28	 2.19132e-01	 4.35694e-03	 3.02676e-01	 3.44924e-03
  6.538	 12.32	 8.55183e+00	 0.00000e+00	 5.13636e+01	 0.00000e+00
  6.923	  9.41	 3.89427e-01	 1.87167e-01	 4.14112e-01	 8.35080e-03
  6.923	  9.63	 2.35585e+00	 5.44617e-04	 1.34537e+00	 1.81539e-04
  3.164	  9.83	 1.13423e+00	 5.99079e-03	 1.55581e+00	 1.01662e-02
  3.578	  9.76	 5.26271e-01	 1.30708e-02	 7.65913e-01	 1.38877e-01
  3.206	  9.52	 3.48950e-01	 3.81232e-03	 4.93547e-01	 5.80925e-03
  3.764	  9.70	 3.27325e-01	 5.75479e-02	 5.94497e-01	 4.91971e-02
  4.673	 10.21	 7.11212e-01	 3.59447e-02	 1.48155e+00	 8.35080e-03
  4.933	 11.23	 2.17047e-01	 1.19090e-01	 3.29808e+00	 1.66290e-01
  4.397	 10.14	 1.13360e-01	 7.62464e-03	 6.88966e-01	 2.03324e-02
  3.555	  9.72	 2.99511e-01	 3.15878e-02	 7.57548e-01	 8.29633e-02
  3.082	 10.13	 8.42022e-01	 1.83354e-02	 1.82887e+00	 3.55816e-02
  3.788	  9.01	 3.28362e-01	 4.95602e-02	 3.46070e-01	 6.71694e-03
  6.923	  9.57	 1.78809e+00	 5.80925e-03	 1.23389e+00	 2.17847e-03
  3.082	  8.88	 1.98958e-01	 5.95448e-02	 2.28478e-01	 3.23139e-02
  3.983	  9.72	 1.12777e-01	 3.81232e-03	 3.83418e-01	 2.28739e-02
  5.755	  9.50	 4.12954e-01	 3.26770e-03	 5.71786e-01	 6.35387e-03
  3.248	  9.65	 5.18003e-01	 6.89848e-03	 8.25825e-01	 8.53233e-03
  3.041	  9.34	 1.40710e-01	 7.62464e-03	 3.79827e-01	 1.36154e-02
  4.701	  9.73	 1.48215e-01	 1.99693e-03	 4.64598e-01	 1.08923e-02
  3.647	  9.19	 5.82889e-01	 6.17233e-03	 6.80681e-01	 7.24341e-02
  3.812	 10.00	 2.36045e-01	 3.37663e-02	 7.66908e-01	 6.73510e-02
  3.421	  9.51	 2.81673e-01	 6.71694e-03	 3.98053e-01	 2.14216e-02
  3.933	  8.63	 3.38066e-01	 4.35694e-03	 1.53137e-01	 7.80618e-03
  5.426	 10.15	 1.99656e-01	 5.50063e-02	 6.81625e-01	 3.26770e-02
  4.109	  9.47	 4.69634e-01	 1.08923e-03	 6.21492e-01	 2.72309e-03
  3.269	  9.81	 5.62604e-01	 2.72309e-03	 9.30972e-01	 1.39785e-02
  3.102	  9.31	 8.18131e-02	 7.26156e-03	 1.68255e-01	 1.83354e-02
  3.717	  9.45	 3.49817e-01	 2.55970e-02	 5.84407e-01	 5.90002e-02
  3.102	  9.58	 2.64140e-01	 1.21631e-02	 5.08400e-01	 5.37356e-02
  3.377	  9.03	 1.21479e-01	 3.63078e-03	 1.77233e-01	 2.90462e-03
  5.206	  9.82	 3.34699e+00	 4.53848e-03	 1.39728e+00	 1.81539e-04
  4.238	  9.69	 1.29444e-01	 2.75939e-02	 3.73738e-01	 1.39785e-02
  3.355	  9.06	 1.58162e-01	 3.99386e-03	 3.76723e-01	 7.15264e-02
  3.290	  9.41	 3.59024e-02	 2.03324e-02	 2.01754e-01	 4.97417e-02
  3.123	  9.29	 1.79683e-01	 3.44924e-03	 2.91418e-01	 1.81539e-03
  3.399	  9.42	 2.35889e-01	 8.71387e-03	 2.40500e-01	 7.98772e-03
  3.123	  9.57	 6.86385e-01	 4.53848e-03	 9.52488e-01	 9.25849e-03
  3.082	  9.27	 2.03287e-01	 1.45231e-03	 3.08249e-01	 9.98465e-03
  3.465	  9.73	 9.09373e-01	 3.44924e-03	 1.06305e+00	 1.27077e-03
  3.102	  9.04	 2.10421e-01	 2.17847e-03	 3.17481e-01	 1.18182e-01
  3.312	 10.07	 5.98825e-01	 3.01355e-02	 1.30090e+00	 6.55356e-02
  5.856	  9.48	 2.21412e-01	 4.72001e-03	 2.99020e-01	 2.17847e-03
  3.355	  9.82	 5.95030e-01	 4.17540e-03	 1.01249e+00	 6.17233e-03
  3.624	 10.80	 1.44310e+00	 1.16185e-01	 3.18171e+00	 4.19718e-01
  3.082	  9.29	 4.40011e-01	 2.17847e-03	 5.87083e-01	 6.89848e-03
  3.421	  9.13	 3.22213e-01	 1.45231e-03	 2.77644e-01	 6.71694e-03
  3.740	  9.16	 2.10298e-01	 1.77908e-02	 3.29760e-01	 3.97570e-02
  3.164	 10.23	 1.63893e+00	 5.08309e-03	 2.84468e+00	 6.71694e-03
  4.644	  9.78	 2.50740e-01	 1.59754e-02	 5.04094e-01	 7.98772e-03
  5.891	 11.01	 7.78588e+01	 0.00000e+00	 3.25637e+01	 0.00000e+00
  3.355	  9.49	 2.83456e-01	 1.48862e-02	 4.50162e-01	 2.57785e-02
  3.123	  9.35	 1.26869e-01	 6.35387e-03	 2.71874e-01	 5.99079e-03
  3.312	  7.54	 5.47101e-02	 1.99693e-03	 5.89791e-02	 2.36001e-03
  4.083	 10.36	 1.47735e+00	 7.62464e-03	 2.68237e+00	 1.32523e-02
  3.061	  9.54	 9.74734e-01	 2.72309e-03	 1.21110e+00	 3.19509e-02
  4.083	  9.96	 4.82110e-01	 7.62464e-03	 1.01030e+00	 6.53540e-03
  5.394	  9.38	 2.06579e-01	 9.07695e-04	 2.92671e-01	 9.07695e-03
  3.312	  9.54	 3.27137e-01	 3.63078e-03	 5.65883e-01	 9.98465e-03
  3.269	  9.83	 2.89936e-01	 9.80311e-03	 6.78749e-01	 4.53848e-03
  5.458	  9.54	 1.34175e+00	 4.17540e-02	 4.40000e-01	 3.44924e-03
  4.963	 10.05	 5.90376e-01	 1.01662e-02	 1.21886e+00	 4.10278e-02
  3.206	  9.78	 9.46864e-01	 9.62157e-03	 1.35763e+00	 1.99693e-03
  5.588	  9.99	 2.58077e-01	 8.53233e-03	 4.17086e-01	 1.61570e-02
  4.933	 10.06	 4.72372e-01	 2.26924e-02	 1.01966e+00	 1.34339e-02
  5.206	 10.44	 2.85400e-01	 2.65047e-02	 8.92297e-01	 9.16772e-02
  3.206	 10.05	 5.23530e-01	 1.16185e-02	 1.26051e+00	 2.77755e-02
  4.264	 10.22	 1.89480e-01	 1.41600e-02	 7.65281e-01	 3.39478e-02
  3.001	 10.15	 1.05511e+00	 2.48708e-02	 1.97790e+00	 4.64740e-02
  3.164	 10.33	 1.31459e+00	 3.57632e-02	 2.63291e+00	 4.90155e-02
  4.933	  9.56	 2.01202e-01	 1.12554e-02	 3.28030e-01	 1.23447e-02
  3.333	  9.99	 9.29316e-02	 2.08770e-02	 5.42141e-01	 1.07290e-01
  3.836	 10.71	 4.24801e-02	 7.26156e-03	 7.97185e-01	 2.20751e-01
  3.041	  9.15	 2.52763e-01	 7.26156e-03	 3.95439e-01	 3.52186e-02
  4.008	  9.97	 2.28483e-01	 1.27077e-03	 8.34477e-01	 3.72155e-02
  3.421	  8.87	 1.21199e-01	 3.79417e-02	 9.33456e-02	 6.53540e-03
  3.958	  8.39	 1.67508e-01	 1.63385e-02	 8.19852e-02	 2.90462e-03
  4.212	  9.01	 3.81533e-01	 1.27077e-02	 3.61274e-01	 2.54155e-03
  3.421	  9.60	 1.41010e-01	 2.90462e-03	 2.81101e-01	 1.27077e-02
  3.555	  9.49	 4.23425e-02	 2.32370e-02	 1.49617e-01	 1.74277e-02
  3.487	  9.10	 1.43772e-01	 3.99386e-03	 1.46374e-01	 2.54155e-03
  3.764	  8.98	 2.40023e-01	 5.04678e-02	 2.88278e-01	 4.88340e-02
  3.312	  7.83	 2.31959e-02	 8.16926e-03	 1.78889e-01	 5.46432e-02
  3.206	  9.17	 1.91248e-01	 5.08309e-03	 2.98023e-01	 2.17847e-03
  3.206	  9.35	 3.93297e-01	 5.26463e-03	 5.70054e-01	 5.62771e-03
  3.983	  9.62	 2.17750e-01	 2.43262e-02	 4.06517e-01	 4.53848e-03
  4.008	  9.84	 2.09983e+00	 4.30247e-02	 3.21047e+00	 1.46320e-01
  3.333	  8.66	 2.07368e-01	 1.63385e-03	 2.04917e-01	 9.07695e-03
  5.555	 10.05	 4.72070e-01	 2.42899e-01	 8.91055e-01	 3.08616e-01
  3.227	  9.56	 3.45127e-01	 3.63078e-03	 4.37229e-01	 1.18000e-02
  3.933	 10.26	 3.64062e-02	 3.06801e-02	 3.99081e-01	 1.76093e-01
  4.109	  9.49	 2.21774e-01	 7.98772e-03	 5.00256e-01	 2.23293e-02
  3.647	  9.71	 3.63180e-02	 3.44924e-03	 2.58642e-01	 4.17540e-02
  3.290	  9.42	 3.19192e-01	 1.45231e-03	 5.13530e-01	 5.99079e-03
  3.555	  9.18	 2.24527e-01	 2.54155e-03	 1.31313e-01	 8.16926e-03
  3.102	  9.22	 4.66552e-01	 3.63078e-03	 5.15527e-01	 5.08309e-03
  4.397	  9.55	 5.28369e-01	 1.63385e-03	 7.11974e-01	 1.99693e-03
  3.399	  9.80	 1.81846e-01	 5.26463e-03	 5.29288e-01	 1.28348e-01
  3.164	  9.11	 3.14642e-01	 1.45231e-03	 3.38459e-01	 8.53233e-03
  3.487	  9.36	 1.49050e-01	 6.44464e-02	 1.34948e-01	 3.06801e-02
  3.355	  9.30	 4.04091e-01	 1.27077e-03	 7.05889e-01	 2.50524e-02
  3.421	  9.89	 6.35648e-01	 1.48862e-02	 1.24595e+00	 5.99079e-03
  3.421	  9.67	 3.94125e-01	 2.36001e-03	 6.75913e-01	 2.77755e-02
  3.884	  9.69	 3.54984e-01	 8.51418e-02	 8.98691e-01	 3.54001e-02
  3.082	  9.68	 5.90706e-01	 7.80618e-03	 9.78179e-01	 1.16185e-02
  3.312	 10.23	 1.14123e+00	 1.32523e-02	 2.17746e+00	 6.42648e-02
  5.755	  9.22	 1.34591e-01	 4.90155e-03	 2.21821e-01	 1.63385e-02
  4.109	  9.86	 3.65591e-01	 3.99386e-03	 7.92527e-01	 5.80925e-03
  3.624	  8.78	 1.06443e-01	 3.35847e-02	 9.59673e-02	 2.41447e-02
  3.443	  9.86	 2.08421e-01	 1.30708e-02	 6.17665e-01	 2.61416e-02
  3.812	  9.06	 2.34895e-01	 1.76093e-02	 1.96053e-01	 6.89848e-03
  9.957	      	 4.58375e-03	 1.48862e-02	 1.06594e-01	 5.90002e-02
  3.399	 10.11	 2.25094e-01	 3.93940e-02	 8.07990e-01	 4.93786e-02
  3.443	  9.82	 3.98224e-01	 2.57785e-02	 8.55317e-01	 2.99539e-02
  3.555	  7.26	 4.89473e-02	 1.23447e-02	 7.40839e-02	 1.94247e-02
  3.102	  9.54	 4.79793e-01	 7.26156e-03	 8.38482e-01	 3.99386e-03
  3.532	  9.59	 3.60813e-01	 1.94247e-02	 5.16108e-01	 2.54155e-02
  3.333	  9.78	 6.36269e-01	 2.90462e-03	 1.25398e+00	 4.82894e-02
  6.100	  9.61	 2.37230e-01	 1.99693e-03	 5.45801e-01	 1.83354e-02
  6.923	  9.66	 2.11039e+00	 3.79417e-02	 1.18867e+00	 3.63078e-03
  5.023	 10.13	 7.06775e-01	 3.39115e-01	 1.53843e+00	 6.54993e-01
  3.933	  9.10	 1.86038e-01	 2.43262e-02	 2.09091e-01	 5.44617e-03
